streamingsite,series,seasons
netflix,"a.p. bio",2
netflix,atypical,4
netflix,biohackers,2
netflix,"black mirror",5
netflix,"brooklyn 99",7
netflix,"control z",3
netflix,"emily in paris",2
netflix,"how to sell drugs online (fast)",3
netflix,bridgerton,2
netflix,"i am not okay with this",1
netflix,"jane the virgin",5
netflix,"never have i ever",2
netflix,"on my block",4
netflix,riverdale,6
netflix,"sex education",3
netflix,"space force",2
netflix,"störst av allt",1
netflix,"the good place",4
netflix,"the office",9
netflix,"the politician",2
netflix,"the rain",3
netflix,"the umbrella academy",3
netflix,"stranger things",4
disney+,"agent carter",2
disney+,"modern family",11
disney+,"a.p. bio",2
hbo max,euphoria,2
hbo max,Kamikaze,1
hbo max,"new girl",7
viaplay,"parks and recreation",7
apple tv+,"a.p. bio",4




