name,score,seasons,seasons_watched
"a.p. bio",4,4,4
"agent carter",5,2,2
atypical,3,4,2
biohackers,3,2,2
"black mirror",4,5,3
"brooklyn 99",5,8,7
"control z",2,3,1
"emily in paris",2,2,2
euphoria,4,2,2
"how to sell drugs online (fast)",5,3,3
"i am not okay with this",4,1,1
"jane the virgin",5,5,5
Kamikaze,3,1,1
"modern family",4,11,11
"never have i ever",4,2,2
"new girl",5,7,7
"on my block",4,4,2
"parks and recreation",4,7,5
riverdale,3,6,1
"sex education",4,3,2
"space force",4,2,2
"störst av allt",3,1,1
"the good place",5,4,4
"the office",5,9,9
"the politician",4,2,2
"the rain",3,3,1
"the umbrella academy",4,3,2
"stranger things",,4,0
bridgerton,5,2,2
loki,4,1,1
wandavision,3,1,1
